SOIL_PH,TEMP,RELATIVE_HUMIDITY,N,P,K,CROPS
6.1,19.6,90.0,102.7,60.3,108.9,brinjal
6.5,16.7,97.3,60.7,50.7,50.0,radish
7.4,31.6,77.5,117.8,45.8,53.7,annual moringa
7.2,34.4,64.4,40.4,23.6,34.3,horsegram
6.3,20.3,90.0,114.8,60.8,118.2,brinjal
6.9,29.3,77.1,100.3,56.8,60.4,muskmelon
7.2,19.5,90.0,132.3,66.5,81.1,brinjal
7.5,25.6,62.9,43.0,38.2,32.0,horsegram
5.7,25.8,50.9,70.9,50.5,48.6,tapoica
7.2,33.7,70.7,78.2,45.8,31.4,jute
6.9,23.5,60.3,95.7,60.2,88.1,pumpkin
6.2,27.0,98.8,24.4,26.7,23.2,gingely
6.7,26.7,78.8,104.7,77.2,91.8,chillies
6.6,25.8,81.1,135.1,56.7,80.1,chillies
8.9,29.3,18.5,39.0,21.5,25.5,samai
6.7,17.0,91.4,73.4,56.6,48.9,sorghum
6.8,28.1,75.2,77.1,44.8,54.2,tinda
6.6,24.3,76.8,119.4,44.4,77.6,watermelon
6.4,20.6,99.2,68.1,43.7,50.3,beetroot
7.4,20.7,17.8,21.0,33.0,39.1,blackgram
6.9,26.4,83.1,93.7,52.8,50.0,annual moringa
7.4,36.3,77.4,44.8,20.4,30.8,horsegram
6.5,8.4,91.2,122.7,98.7,88.8,cabbage
6.5,17.4,93.1,144.1,59.8,115.4,capsicum
6.4,24.7,67.5,98.1,44.9,50.2,small onion
6.9,27.3,63.6,31.9,22.3,20.2,greengram
6.1,23.0,82.6,75.1,55.4,66.3,bottle gourd
7.4,26.7,87.2,95.1,43.6,51.6,cotton
7.0,29.0,75.9,72.7,65.5,64.4,ribbed gourd
6.7,14.2,74.6,114.8,51.5,52.4,peas
6.4,22.7,50.8,111.5,50.4,50.5,wheat
6.1,17.5,16.8,33.1,29.2,21.9,panivaragu
7.5,21.4,17.6,20.3,25.8,26.9,blackgram
6.9,22.2,94.5,58.8,32.2,20.4,castor
5.9,18.7,77.4,69.1,50.4,48.3,chowchow
6.9,19.2,80.3,58.9,24.6,25.0,redgram
7.4,24.1,75.6,114.0,61.4,109.8,tomato
5.7,20.7,78.1,64.5,41.2,57.9,chowchow
6.5,20.5,99.5,80.7,56.5,57.2,beetroot
6.0,20.2,83.7,69.7,41.9,51.6,french bean
7.0,25.8,83.9,110.4,55.9,61.4,watermelon
5.9,29.6,81.2,68.6,44.7,49.6,vegetable cowpea
7.0,20.4,60.0,43.6,27.4,27.6,bengalgram
6.5,19.9,99.1,92.3,48.7,56.3,beetroot
7.1,18.6,75.9,132.0,68.9,80.0,tomato
5.7,24.4,80.3,80.4,45.8,44.1,vegetable cowpea
7.5,21.3,74.2,147.7,62.5,71.4,sugarbeet
6.9,22.7,77.2,58.9,29.8,28.5,redgram
6.2,26.9,19.8,34.1,26.1,28.0,varagu
5.7,25.5,55.0,69.2,52.9,56.6,tapoica
7.2,33.7,87.2,34.8,20.6,20.4,gingely
7.1,17.7,87.9,103.1,55.1,42.2,peas
6.3,33.1,84.1,92.1,46.8,43.1,elephant foot yam
7.9,29.8,78.5,86.6,55.4,56.9,cotton
6.9,34.3,82.7,118.9,45.5,51.3,annual moringa
7.2,30.4,80.1,38.6,26.9,29.0,gingely
6.8,29.9,61.3,77.1,44.4,45.0,cucumber
6.1,20.0,71.9,99.5,59.6,48.1,small onion
7.2,20.6,70.7,135.5,60.2,72.2,sugarbeet
6.0,21.8,80.3,71.9,51.4,50.7,chowchow
7.2,19.3,90.0,121.5,79.8,80.3,brinjal
6.6,32.7,86.6,61.4,39.2,38.9,jute
6.8,28.4,51.5,98.4,53.3,42.0,tapoica
6.2,26.5,66.0,64.0,57.3,84.1,ash gourd
7.0,25.7,80.8,61.1,75.5,70.0,ribbed gourd
6.9,20.5,99.9,67.2,43.5,51.4,beetroot
5.7,18.6,80.5,87.5,46.1,47.7,french bean
6.9,26.9,16.0,38.8,20.4,21.2,thinai
6.6,27.0,80.6,149.6,53.1,90.9,chillies
7.1,25.3,75.6,180.5,93.7,130.5,sugarcane
7.8,22.9,79.5,66.6,50.9,42.6,cluster bean
6.4,29.5,60.0,40.5,22.4,27.9,bengalgram
6.4,21.1,17.1,31.9,27.1,25.4,thinai
6.6,29.8,80.9,80.7,55.1,51.1,tinda
5.7,28.1,60.0,51.9,21.1,36.0,bengalgram
6.5,27.8,53.0,40.6,20.9,38.5,cowpea
7.5,37.2,79.2,90.1,52.1,44.9,rice
6.3,27.0,89.4,62.4,74.4,89.0,snake gourd
6.5,11.4,78.4,95.0,42.1,57.7,peas
6.9,28.2,85.8,69.0,31.3,32.3,soyabean
7.0,25.7,81.0,80.8,50.3,87.6,watermelon
6.7,33.4,72.3,41.3,36.7,22.5,horsegram
5.6,32.7,80.7,23.0,36.1,24.9,gingely
5.8,27.3,58.7,78.6,54.4,58.5,tapoica
6.0,12.1,91.1,138.7,84.1,115.0,cabbage
5.1,27.0,53.0,59.7,30.7,31.7,cowpea
6.5,33.8,83.8,82.4,49.3,69.6,ribbed gourd
8.9,31.7,18.2,33.4,21.2,23.7,samai
7.1,26.2,77.0,163.1,97.0,129.3,sugarcane
7.0,28.3,85.7,71.2,77.4,79.1,bitter gourd
6.3,24.1,76.0,113.4,45.2,75.1,watermelon
7.3,37.7,84.6,73.3,44.5,41.9,jute
7.5,14.5,83.1,81.0,47.4,59.3,peas
6.2,24.6,82.5,92.1,54.5,79.0,watermelon
6.7,25.1,70.0,86.9,52.6,44.9,cucumber
7.8,22.0,76.0,183.5,70.5,128.6,sugarcane
6.5,18.6,99.3,66.0,45.5,57.6,beetroot
6.7,18.8,99.3,94.8,41.3,51.8,cauliflower
6.7,21.5,54.3,119.5,48.1,47.8,wheat
7.1,25.3,75.0,84.4,40.7,41.6,cotton
6.0,22.0,94.2,51.8,38.3,25.7,castor
6.0,24.2,76.0,148.1,54.2,108.0,chillies
6.9,20.2,92.4,143.2,50.3,113.4,capsicum
7.5,25.4,82.7,104.1,55.0,45.2,annual moringa
6.4,20.4,69.1,90.0,53.6,82.4,pumpkin
6.6,25.6,80.4,114.8,59.2,46.7,peas
7.4,24.9,82.3,50.8,26.3,39.2,pearl millet
5.9,25.9,59.3,90.7,54.9,43.8,tapoica
6.9,28.7,91.4,87.0,68.8,97.7,bitter gourd
6.7,24.5,84.5,92.3,47.1,60.3,watermelon
6.7,37.4,17.7,32.1,33.0,32.8,blackgram
6.6,27.4,87.7,64.6,48.1,96.8,bitter gourd
7.0,25.8,62.9,82.1,48.5,49.9,rice
6.7,13.6,73.6,103.4,53.6,52.6,peas
6.1,22.5,50.1,109.2,58.6,55.5,wheat
6.3,25.4,64.6,140.1,82.2,88.6,maize
7.4,16.8,71.2,108.3,64.1,69.8,sugarbeet
6.3,23.3,89.0,83.8,53.4,70.5,snake gourd
6.3,18.3,97.9,122.4,63.6,114.8,cabbage
5.3,20.8,52.6,40.1,32.5,29.1,cowpea
6.5,22.7,17.9,34.9,28.1,25.7,blackgram
5.6,25.2,52.3,79.2,46.0,40.5,tapoica
6.6,28.8,60.0,53.5,36.0,31.4,bengalgram
7.0,24.2,73.2,86.1,44.7,53.4,rice
6.6,12.8,95.9,107.5,52.3,50.5,cauliflower
5.7,13.3,95.1,96.2,58.2,47.1,radish
6.7,26.0,99.9,138.4,71.3,105.3,bhendi
5.6,21.6,82.0,98.9,52.6,41.2,vegetable cowpea
6.1,25.3,90.0,137.4,62.6,113.2,brinjal
8.8,39.4,17.2,32.2,28.9,25.2,samai
6.1,25.1,72.5,41.4,26.5,37.3,horsegram
6.3,25.1,98.1,139.8,98.4,82.9,bhendi
5.7,17.2,96.4,67.1,49.4,41.2,radish
6.9,27.6,19.5,31.6,29.7,22.0,thinai
6.7,10.4,89.8,82.4,55.8,46.8,peas
6.0,25.8,78.8,74.5,57.3,89.9,bottle gourd
5.7,28.1,15.9,39.2,24.8,25.4,thinai
6.9,24.0,94.6,67.3,20.9,24.9,sunflower
6.7,25.6,67.0,158.1,94.2,133.6,sugarcane
7.4,30.0,61.8,81.5,51.8,44.8,cucumber
7.1,15.6,73.3,98.1,51.8,42.1,peas
6.2,23.3,84.7,132.0,57.7,103.3,onion
6.8,27.9,80.7,47.0,23.9,39.2,pearl millet
7.3,30.4,80.5,107.5,53.7,83.9,muskmelon
5.7,23.4,87.9,64.1,29.6,23.1,castor
5.7,28.1,76.5,64.7,58.6,58.6,vegetable cowpea
7.3,26.6,80.4,106.7,45.1,52.6,annual moringa
6.3,26.8,82.2,79.5,45.6,53.3,elephant foot yam
6.7,18.4,67.4,97.4,87.1,94.7,carrot
6.5,27.9,75.1,44.9,21.9,37.3,horsegram
7.6,24.9,85.9,64.0,37.6,26.8,sunflower
6.1,19.3,88.1,78.3,65.1,96.6,snake gourd
6.7,22.7,90.0,137.5,46.6,118.1,brinjal
7.2,28.4,64.9,29.2,25.3,26.9,greengram
6.4,22.3,88.6,61.7,47.0,89.7,snake gourd
7.0,25.7,60.0,59.7,24.1,29.4,bengalgram
6.4,25.6,88.9,113.5,56.2,54.1,sweet potato
6.1,25.8,77.5,127.0,64.2,90.4,chillies
7.3,23.4,71.3,197.5,85.9,123.0,sugarcane
6.5,26.9,77.6,65.6,59.1,46.0,tinda
6.6,39.9,17.2,28.9,26.1,36.4,blackgram
7.0,18.8,68.3,91.1,77.8,73.5,carrot
5.7,22.4,77.0,90.8,50.7,58.5,french bean
6.1,38.9,17.7,35.6,25.6,26.2,panivaragu
7.6,26.6,71.8,152.5,66.5,123.2,sugarcane
6.8,26.8,83.6,105.7,45.4,89.0,watermelon
6.6,18.3,65.0,72.0,47.7,47.3,groundnut
6.0,13.8,99.1,72.3,44.8,46.5,radish
7.1,28.9,79.0,79.9,55.4,47.4,tinda
6.0,33.7,80.8,84.1,45.9,57.4,elephant foot yam
6.3,22.4,16.2,36.5,27.6,29.6,thinai
6.9,31.7,80.8,80.1,67.9,61.2,ribbed gourd
6.6,27.9,98.1,108.5,49.9,59.8,cauliflower
6.5,24.2,66.0,74.6,58.8,76.1,ash gourd
5.9,25.7,18.8,39.3,25.4,23.7,thinai
6.8,24.8,17.5,35.9,20.7,36.1,blackgram
7.0,33.4,79.6,95.3,49.0,91.2,muskmelon
6.6,28.4,84.6,66.1,55.9,89.0,bitter gourd
5.9,24.6,50.6,51.5,28.2,28.5,cowpea
7.7,29.5,80.1,117.8,45.3,48.1,cotton
6.5,20.0,17.4,40.4,29.2,27.3,kudiraivali
7.4,26.7,17.2,30.3,23.7,20.1,blackgram
5.9,18.9,19.5,30.8,26.9,29.0,panivaragu
7.4,27.7,79.2,97.5,43.4,62.3,ribbed gourd
6.0,22.4,84.7,115.8,79.5,116.0,onion
5.7,14.6,17.9,37.2,27.3,21.4,ragi
6.9,23.9,72.1,152.8,85.2,131.5,sugarcane
6.6,25.8,90.0,119.0,63.0,94.1,brinjal
6.8,20.6,95.8,73.0,36.9,38.2,sunflower
6.6,21.7,72.0,116.0,68.7,65.0,sugarbeet
6.6,24.1,90.0,92.3,59.3,98.6,snake gourd
8.0,27.7,77.6,86.3,54.9,49.5,cotton
7.2,31.0,89.3,97.2,31.6,34.5,jute
7.3,20.1,74.2,90.5,41.3,50.7,peas
6.0,19.8,82.3,84.7,53.6,53.9,chowchow
6.7,27.3,80.5,52.2,27.5,28.2,redgram
6.2,26.8,82.9,89.5,58.6,64.7,bottle gourd
6.8,23.9,18.3,39.4,20.6,23.7,thinai
6.3,11.8,99.2,67.2,43.4,43.0,radish
7.0,15.1,62.7,89.5,76.9,76.1,carrot
7.5,25.1,80.1,96.3,52.6,64.9,watermelon
6.6,25.6,79.8,87.9,48.1,83.8,watermelon
6.9,15.5,65.8,106.7,74.7,84.7,carrot
6.7,26.2,78.0,45.0,34.0,30.4,redgram
8.7,26.4,15.7,32.9,26.3,24.5,samai
7.2,26.3,75.9,89.9,64.4,85.7,ribbed gourd
6.6,27.0,81.5,101.1,56.4,77.3,muskmelon
7.3,27.1,90.0,133.8,54.3,101.7,brinjal
5.0,24.9,50.8,35.3,20.7,35.8,cowpea
5.7,24.2,60.0,58.3,35.5,27.3,bengalgram
6.2,24.3,84.6,78.3,43.3,80.9,bottle gourd
6.1,20.6,98.5,64.6,41.1,58.5,beetroot
6.3,20.1,77.2,73.1,53.7,94.0,bottle gourd
6.3,21.1,91.6,115.2,74.5,104.3,cabbage
6.8,28.4,80.7,114.4,77.8,95.6,chillies
6.3,28.1,53.4,70.1,40.4,62.7,ash gourd
6.9,25.6,77.1,58.2,32.2,30.3,redgram
5.4,36.3,66.1,97.4,48.7,42.5,rice
6.6,43.8,65.0,50.0,52.2,49.4,groundnut
6.2,21.2,77.7,76.3,21.8,23.9,soyabean
8.4,24.5,77.4,74.2,45.7,56.6,cluster bean
6.3,19.6,18.7,35.2,27.6,23.9,panivaragu
6.6,8.6,99.4,116.8,56.0,50.4,cauliflower
6.0,27.5,80.7,22.6,25.3,37.1,gingely
7.4,29.1,76.2,83.7,36.8,47.4,jute
6.9,29.5,85.8,34.0,20.1,23.1,gingely
6.5,20.3,87.2,99.6,74.5,63.8,snake gourd
6.3,38.3,94.8,69.5,46.2,48.0,sorghum
6.3,23.7,19.2,38.2,23.5,21.7,ragi
6.4,21.1,55.9,100.7,54.5,58.9,wheat
8.0,24.2,91.6,67.7,40.0,23.0,sunflower
6.2,24.6,16.2,32.5,20.0,27.0,thinai
5.7,16.6,93.6,145.7,64.0,106.1,capsicum
6.2,23.5,81.9,120.5,50.8,111.5,onion
6.8,25.3,88.0,87.9,36.9,48.2,jute
7.7,32.5,83.5,82.4,56.2,54.2,annual moringa
6.6,26.3,97.1,149.3,89.4,103.2,bhendi
6.9,21.1,94.7,146.3,57.2,86.3,capsicum
6.3,24.8,92.4,138.5,64.3,86.3,capsicum
6.7,25.1,79.0,85.1,52.3,83.8,bitter gourd
5.7,21.7,81.7,85.5,59.5,53.0,vegetable cowpea
6.7,28.4,81.2,104.9,54.8,75.5,muskmelon
6.7,11.1,18.5,35.4,22.2,28.1,ragi
6.9,24.6,84.1,119.0,45.9,58.4,peas
6.7,19.6,74.1,164.4,86.4,81.6,maize
6.0,23.1,57.8,105.5,47.0,54.6,wheat
5.8,18.9,83.1,62.2,55.7,41.6,french bean
6.7,25.3,66.6,87.5,42.0,40.5,cucumber
6.6,31.2,65.0,63.0,59.2,51.6,groundnut
7.2,30.1,86.0,93.9,37.8,38.5,jute
6.5,25.7,83.6,112.7,53.3,84.6,watermelon
6.5,25.1,87.2,95.4,41.4,44.4,jute
8.7,38.7,15.3,35.1,26.2,21.1,samai
6.7,21.5,80.0,133.0,59.6,105.7,tomato
6.2,10.9,17.0,34.0,24.4,20.9,panivaragu
6.4,23.2,78.1,180.0,76.1,82.0,maize
6.8,24.2,83.5,148.9,75.4,109.0,tomato
6.7,22.6,97.3,95.1,52.9,55.8,cauliflower
6.2,16.5,60.6,102.3,69.5,66.4,carrot
6.6,26.3,56.5,84.0,70.7,80.6,ash gourd
6.1,29.8,82.4,64.9,41.3,42.1,elephant foot yam
6.2,18.0,75.2,79.0,46.2,50.8,chowchow
6.7,27.6,76.2,119.7,54.1,104.1,chillies
6.2,26.3,64.8,60.2,76.9,74.6,pumpkin
6.2,22.4,77.6,61.5,64.5,90.0,bottle gourd
7.4,28.0,63.9,36.7,28.7,31.2,greengram
7.9,29.5,85.3,29.7,38.8,37.2,gingely
6.2,23.1,60.0,44.7,36.3,30.5,bengalgram
6.9,27.0,15.8,37.9,25.0,26.7,thinai
6.6,25.6,78.2,93.2,72.6,91.1,bottle gourd
6.5,23.3,15.8,36.8,27.0,25.7,thinai
6.3,19.3,89.4,68.2,65.2,82.1,snake gourd
5.5,23.2,53.3,37.2,30.7,28.6,cowpea
7.8,29.6,70.8,82.9,58.2,54.4,cotton
6.1,26.3,54.0,46.4,35.6,25.2,cowpea
6.7,28.0,60.0,46.1,39.2,32.7,bengalgram
7.3,34.4,69.8,34.8,31.4,21.6,greengram
7.4,28.2,69.5,20.5,33.0,33.3,greengram
8.9,37.9,18.6,31.8,27.4,29.0,samai
6.9,33.3,89.1,45.7,31.7,39.5,pearl millet
6.9,19.7,75.0,109.7,67.5,92.0,tomato
7.4,26.6,80.8,95.4,45.0,60.9,watermelon
7.4,31.6,80.9,61.0,40.5,40.7,jute
8.4,21.8,81.9,89.3,41.1,47.1,cluster bean
5.8,20.0,15.9,54.5,28.9,35.4,kudiraivali
6.6,19.7,76.1,73.7,67.8,89.3,bottle gourd
6.6,25.3,86.9,85.3,52.9,58.6,sweet potato
6.3,22.1,50.5,90.1,56.8,46.3,wheat
6.6,34.1,82.8,84.1,50.1,79.6,ribbed gourd
7.0,25.6,77.5,105.9,49.0,79.6,watermelon
7.2,24.9,79.6,96.2,58.1,44.1,cotton
6.3,31.6,81.0,99.4,56.3,42.9,elephant foot yam
6.2,23.3,73.8,91.2,40.8,52.0,small onion
6.2,20.3,73.8,73.4,27.1,29.0,soyabean
7.2,34.1,68.8,89.4,53.9,51.9,cucumber
6.8,20.0,18.5,41.7,34.1,37.3,kudiraivali
7.1,21.6,83.5,143.0,53.5,98.5,tomato
7.0,29.3,90.3,91.4,40.6,88.5,bitter gourd
6.9,30.2,78.7,104.7,53.2,78.3,muskmelon
8.0,21.3,82.2,109.9,46.0,51.5,cotton
6.7,25.8,60.0,58.1,30.9,34.5,bengalgram
6.6,19.9,83.7,80.7,73.9,87.9,bottle gourd
7.1,25.9,69.3,91.0,43.7,58.8,cucumber
6.1,21.0,70.3,96.8,48.3,40.5,small onion
6.2,25.8,78.6,83.7,42.9,88.0,bottle gourd
6.4,19.6,76.1,137.3,84.2,89.0,maize
6.9,28.8,57.1,83.5,57.3,56.0,tapoica
6.7,12.5,84.1,42.2,36.3,25.5,pearl millet
6.2,8.1,90.1,115.1,83.2,116.4,cabbage
6.9,28.1,55.5,96.9,47.9,47.1,tapoica
6.9,26.8,65.0,75.0,50.4,53.7,groundnut
6.8,25.7,86.8,60.2,72.4,63.8,bitter gourd
6.4,26.7,80.0,69.9,60.0,88.2,bottle gourd
7.8,23.7,72.8,109.0,43.9,58.2,cotton
6.6,25.0,76.5,108.0,45.2,89.9,chillies
6.9,30.6,80.5,67.8,76.7,88.6,ribbed gourd
6.7,28.2,91.4,74.0,52.4,55.5,sorghum
6.9,29.9,73.2,64.7,23.8,31.1,soyabean
5.6,28.5,64.3,87.9,47.6,53.8,rice
6.8,29.9,77.1,76.2,51.8,54.6,tinda
6.6,20.3,17.7,32.6,26.9,39.7,blackgram
6.8,37.0,54.9,42.0,29.8,33.5,horsegram
5.9,23.1,78.9,95.6,49.6,45.3,vegetable cowpea
6.5,23.2,85.0,128.2,56.5,109.4,chillies
5.6,19.7,81.1,179.6,76.3,77.4,maize
6.7,32.9,65.0,60.7,42.6,43.1,groundnut
6.4,22.0,91.7,137.6,78.7,116.0,capsicum
8.1,25.5,82.7,56.3,31.5,29.4,castor
6.1,22.7,58.8,90.6,46.2,43.0,wheat
6.7,24.7,88.3,53.1,26.3,27.9,sunflower
5.9,21.4,75.8,76.4,52.1,59.7,chowchow
6.5,46.6,65.0,51.2,57.7,51.0,groundnut
6.3,25.1,56.5,99.7,53.1,59.7,tapoica
6.0,26.9,19.4,35.1,23.1,21.2,varagu
7.9,21.4,90.8,78.6,34.5,28.1,sunflower
6.5,21.1,88.7,70.2,43.6,90.1,snake gourd
6.6,26.2,98.4,88.9,41.9,53.0,cauliflower
5.9,22.5,85.5,102.6,57.6,44.7,sweet potato
6.4,23.8,80.0,105.2,44.9,115.1,chillies
6.5,18.2,84.9,96.6,45.9,40.7,chowchow
5.9,25.4,18.6,30.9,20.3,22.2,varagu
6.6,24.3,85.0,72.6,78.5,76.9,bottle gourd
7.0,34.9,76.5,71.6,44.8,72.4,ribbed gourd
6.5,21.5,17.2,35.7,25.5,25.1,panivaragu
6.4,24.1,62.4,80.1,49.2,49.8,rice
8.5,30.1,15.0,33.5,26.2,27.1,samai
6.3,23.7,19.1,33.2,27.1,27.2,thinai
6.6,29.1,76.0,68.8,58.5,44.0,tinda
6.6,25.1,87.8,72.6,78.8,64.2,bitter gourd
5.7,12.0,75.3,99.9,49.8,42.6,french bean
6.0,27.0,18.7,30.7,24.3,23.4,panivaragu
6.4,28.1,76.7,60.7,41.0,45.3,jute
6.4,24.9,91.4,146.1,99.1,92.8,cabbage
6.2,24.3,88.7,114.5,48.1,41.9,sweet potato
6.3,42.0,19.2,33.6,26.4,20.7,panivaragu
5.5,22.0,60.0,46.9,26.5,20.6,bengalgram
7.0,24.4,85.1,53.3,22.5,29.2,pearl millet
7.0,19.6,81.9,169.8,64.2,81.1,maize
9.0,26.9,18.1,31.0,20.6,24.5,samai
7.3,21.7,87.0,92.7,52.3,45.6,cotton
7.0,23.8,60.0,56.6,38.9,27.8,bengalgram
6.4,26.0,98.7,130.4,63.6,90.5,bhendi
7.1,27.7,96.1,79.5,48.0,54.2,sorghum
6.1,25.1,86.6,66.6,41.7,69.7,snake gourd
7.5,27.7,92.9,71.6,44.9,48.8,sorghum
5.7,20.0,17.1,46.7,22.0,36.0,kudiraivali
6.1,28.1,79.3,146.6,47.7,81.5,chillies
7.9,14.0,17.9,33.2,21.0,23.2,ragi
6.7,20.0,15.4,50.6,35.2,29.1,kudiraivali
5.7,26.4,80.9,67.9,44.0,50.5,elephant foot yam
7.2,25.1,77.0,96.4,57.1,64.5,watermelon
6.3,23.3,96.3,140.8,95.6,103.6,cabbage
6.1,27.7,94.0,104.2,57.7,89.8,capsicum
8.9,36.7,15.8,39.4,29.3,24.6,samai
6.2,22.1,75.2,105.7,55.2,84.1,onion
7.3,26.0,50.2,55.9,24.5,34.6,horsegram
6.6,26.6,76.1,126.2,42.1,92.2,chillies
6.0,27.1,60.0,53.2,37.0,21.6,bengalgram
5.5,10.8,96.9,64.1,56.1,48.3,radish
6.5,16.5,95.0,98.6,49.6,51.2,radish
6.3,25.2,19.6,39.2,24.9,26.1,varagu
6.1,20.0,16.8,53.0,25.2,21.0,kudiraivali
8.7,27.2,19.7,38.3,21.4,23.2,samai
6.8,29.5,80.1,85.2,42.8,47.3,tinda
7.3,22.6,77.3,96.5,57.8,55.0,cotton
7.9,23.0,97.7,49.5,24.7,20.4,sunflower
7.8,24.2,87.9,61.9,26.0,37.4,sunflower
6.9,30.7,65.1,30.2,29.8,28.9,greengram
7.0,29.4,76.2,41.9,35.5,22.0,redgram
6.5,18.0,68.3,88.2,77.7,72.0,pumpkin
6.6,15.6,89.5,70.6,25.6,23.7,soyabean
6.6,24.0,52.5,96.1,74.6,84.5,ash gourd
5.7,24.6,60.0,52.8,26.5,31.0,bengalgram
6.8,29.1,92.1,39.0,30.3,26.4,gingely
6.8,29.2,91.5,85.7,74.6,92.1,bitter gourd
7.5,21.2,69.4,171.7,69.0,141.2,sugarcane
6.7,34.7,83.4,61.3,48.4,54.7,elephant foot yam
8.8,26.3,19.6,36.6,23.0,29.4,samai
6.4,26.8,75.8,102.1,70.3,107.4,chillies
6.7,24.6,76.4,127.5,71.3,90.0,tomato
6.4,27.5,60.0,40.3,29.9,32.8,bengalgram
6.6,25.3,85.7,99.3,48.3,81.3,snake gourd
7.5,21.3,92.1,54.0,23.9,27.1,sunflower
5.5,23.1,16.0,33.4,27.3,26.0,panivaragu
6.5,27.5,74.4,92.0,70.0,76.9,ash gourd
6.7,34.9,65.0,77.5,45.3,42.1,groundnut
6.6,23.6,84.8,58.9,37.2,33.1,sunflower
6.9,24.7,78.5,108.4,47.6,55.7,peas
7.1,20.7,82.4,48.4,30.5,25.9,pearl millet
7.0,33.0,76.0,98.3,53.4,57.0,annual moringa
6.8,22.4,69.2,154.2,71.5,130.3,sugarcane
6.1,17.6,70.7,68.2,32.1,30.9,soyabean
7.4,30.9,82.4,96.8,47.4,44.0,jute
5.7,25.3,58.2,84.5,53.2,49.5,tapoica
6.8,28.5,63.9,88.6,57.8,50.4,cucumber
6.1,21.2,81.8,70.5,59.9,45.9,chowchow
6.8,24.9,97.9,134.6,88.5,116.5,bhendi
7.1,27.3,75.5,75.9,65.7,69.0,ribbed gourd
5.5,20.0,16.4,46.1,27.1,31.1,kudiraivali
6.7,27.3,81.9,72.2,48.2,44.5,tinda
7.6,25.3,81.3,61.2,20.7,29.0,castor
6.6,22.4,69.4,81.6,45.4,68.5,pumpkin
7.3,29.1,90.0,129.7,52.4,85.6,brinjal
6.7,22.7,90.0,121.0,48.1,110.1,brinjal
6.1,27.4,94.5,103.8,59.6,98.6,capsicum
6.6,29.6,62.4,74.3,65.6,65.9,ash gourd
7.8,24.9,91.9,63.1,32.8,27.1,castor
5.8,20.4,84.5,73.8,50.0,46.1,vegetable cowpea
7.8,21.6,84.8,47.9,21.6,22.0,sunflower
6.4,19.6,79.3,77.7,71.2,68.4,bottle gourd
7.0,22.1,74.5,98.7,50.6,49.1,small onion
6.2,22.3,17.9,34.5,23.9,21.1,thinai
6.6,32.9,93.7,41.8,29.2,39.4,pearl millet
6.5,22.3,50.3,58.9,33.3,22.2,cowpea
7.0,26.7,63.2,61.8,48.5,60.0,cucumber
6.6,25.1,85.0,74.5,47.3,71.7,bitter gourd
6.6,30.5,19.1,36.7,28.6,26.6,panivaragu
6.9,26.0,90.0,147.4,76.7,90.0,brinjal
6.6,26.7,86.4,78.8,62.7,98.9,bitter gourd
6.2,18.7,78.5,61.1,76.4,72.0,bottle gourd
6.2,25.9,87.4,116.4,59.5,40.2,sweet potato
6.3,22.7,99.6,127.8,60.0,104.7,cabbage
6.4,19.6,68.4,116.3,71.5,91.6,carrot
7.3,26.1,50.8,58.2,34.2,26.9,horsegram
6.6,27.2,80.9,71.3,42.9,59.4,elephant foot yam
5.9,21.3,85.9,112.3,42.2,54.2,sweet potato
6.4,24.4,80.5,51.0,30.0,28.4,pearl millet
5.6,19.0,80.9,61.6,46.5,42.3,french bean
6.3,29.0,90.9,54.2,34.9,31.7,pearl millet
5.8,21.1,82.0,120.0,41.8,101.5,onion
6.4,25.3,89.6,108.9,44.9,59.2,sweet potato
6.2,28.5,81.1,90.6,52.3,55.7,elephant foot yam
6.3,29.8,66.6,56.4,38.5,31.7,horsegram
6.4,30.7,85.0,68.6,41.1,53.4,elephant foot yam
7.0,27.5,92.9,109.3,54.5,87.5,capsicum
7.4,18.8,85.3,118.7,41.2,50.2,peas
6.6,20.5,63.8,88.1,42.6,68.1,pumpkin
6.6,26.6,82.6,112.7,57.9,68.9,watermelon
7.2,31.4,65.9,85.4,47.8,42.3,cucumber
6.4,24.2,79.1,94.8,45.5,96.2,watermelon
5.1,28.8,55.0,32.5,22.9,31.2,cowpea
5.7,17.8,95.6,75.3,47.7,55.4,radish
6.7,19.9,68.4,66.8,59.5,64.1,pumpkin
6.2,25.6,97.2,127.2,71.2,96.2,bhendi
7.3,28.8,83.6,28.7,21.2,24.9,gingely
6.9,18.9,98.4,93.7,50.9,56.2,beetroot
5.6,24.0,76.6,84.9,50.6,46.7,french bean
6.8,24.1,80.1,110.9,42.6,114.8,tomato
7.1,30.0,75.6,95.7,35.7,44.2,jute
6.5,23.0,60.0,48.8,30.9,36.0,bengalgram
6.7,25.0,75.0,117.7,57.1,90.1,chillies
5.8,25.5,56.6,84.2,45.6,43.4,tapoica
6.6,9.7,96.0,93.3,43.1,54.2,cauliflower
7.0,41.3,65.0,63.0,52.1,59.7,groundnut
6.5,25.9,90.0,116.8,72.0,99.1,brinjal
7.5,29.4,80.7,99.0,45.3,55.6,annual moringa
6.5,23.7,82.5,72.3,54.9,78.3,bottle gourd
6.6,28.1,94.0,76.0,43.2,57.2,sorghum
7.2,12.5,81.4,47.0,31.0,37.3,pearl millet
7.4,30.0,75.7,93.8,50.5,72.2,muskmelon
